row,year_film,year_ceremony,ceremony,category,name,film,winner
1,1927,1928,1,ACTOR,Richard Barthelmess,The Noose,FALSE
2,1927,1928,1,ACTOR,Emil Jannings,The Last Command,TRUE
3,1927,1928,1,ACTRESS,Louise Dresser,A Ship Comes In,FALSE
4,1927,1928,1,ACTRESS,Janet Gaynor,7th Heaven,TRUE
5,1927,1928,1,ACTRESS,Gloria Swanson,Sadie Thompson,FALSE
6,1927,1928,1,ART DIRECTION,Rochus Gliese,Sunrise,FALSE
7,1927,1928,1,ART DIRECTION,William Cameron Menzies,The Dove;,TRUE
8,1927,1928,1,ART DIRECTION,Harry Oliver,7th Heaven,FALSE
9,1927,1928,1,CINEMATOGRAPHY,George Barnes,The Devil Dancer;,FALSE
10,1927,1928,1,CINEMATOGRAPHY,Charles Rosher,Sunrise,TRUE
11,1927,1928,1,CINEMATOGRAPHY,Karl Struss,Sunrise,TRUE
12,1927,1928,1,DIRECTING (Comedy Picture),Lewis Milestone,Two Arabian Knights,TRUE
13,1927,1928,1,DIRECTING (Comedy Picture),Ted Wilde,Speedy,FALSE
14,1927,1928,1,DIRECTING (Dramatic Picture),Frank Borzage,7th Heaven,TRUE
15,1927,1928,1,DIRECTING (Dramatic Picture),Herbert Brenon,Sorrell and Son,FALSE
16,1927,1928,1,DIRECTING (Dramatic Picture),King Vidor,The Crowd,FALSE
17,1927,1928,1,ENGINEERING EFFECTS,Ralph Hammeras,,FALSE
18,1927,1928,1,ENGINEERING EFFECTS,Roy Pomeroy,Wings,TRUE
19,1927,1928,1,ENGINEERING EFFECTS,Nugent Slaughter,,FALSE
20,1927,1928,1,OUTSTANDING PICTURE,The Caddo Company,The Racket,FALSE
21,1927,1928,1,OUTSTANDING PICTURE,Fox,7th Heaven,FALSE
22,1927,1928,1,OUTSTANDING PICTURE,Paramount Famous Lasky,Wings,TRUE
23,1927,1928,1,UNIQUE AND ARTISTIC PICTURE,Fox,Sunrise,TRUE
24,1927,1928,1,UNIQUE AND ARTISTIC PICTURE,Metro-Goldwyn-Mayer,The Crowd,FALSE
25,1927,1928,1,UNIQUE AND ARTISTIC PICTURE,Paramount Famous Lasky,Chang,FALSE
26,1927,1928,1,WRITING (Adaptation),Alfred Cohn,The Jazz Singer,FALSE
